recipe_id,preparation_instructions
42,"Wash chicken parts.
In a food processor or mortar and pestle, grind the garlic, ginger, kimiri nuts, turmeric, galangal, hot chilies, and terasi into a paste (bumbu).
In a wok or skillet, cook the paste over medium heat for 1 minute.
Add the chicken parts to the wok, and brown them.
Add the shallots, lemongrass, kaffir lime leaves, and salam leaves to the wok, and sauté for another minute.
Add the coconut milk and bring to a light boil.
Simmer on low heat for 10 minutes."
43,"Place onion and chicken in 3 ½ quart (3.5 L) slow cooker.
Combine remaining ingredients in a bowl. Stir.
Pour over chicken and cover the chicken.
Cook on low for 6–8 hours or on high for 3–4 hours.
Discard bay leaf and serve."
44,"Heat the olive oil in a large skillet or frying pan over medium heat.
Add the finely chopped onion and minced garlic to the skillet. Sauté until the onion becomes translucent and the garlic is fragrant.
Add the diced tomatoes to the skillet and cook for a few minutes until they start to soften.
Stir in the berbere spice blend, paprika, cumin, coriander, turmeric, cayenne pepper, and salt. Mix well to coat the onions and tomatoes with the spices.
Add the trimmed and cut green beans to the skillet and stir to combine them with the spice mixture.
Reduce the heat to low, cover the skillet with a lid, and simmer for about 20–25 minutes, or until the green beans are tender but still slightly crisp. Stir occasionally to ensure even cooking.
Taste and adjust the seasoning with salt or additional spices if desired.
Remove from heat and let the stew rest for a few minutes to allow the flavors to meld together.
Garnish with freshly chopped cilantro or parsley.
Serve as a main course, accompanied by injera or rice."
45,"Mix yoghurt, oil, ginger/garlic paste, half the lemon juice, and spices together. Smear this mixture over the chicken halves and allow to marinate for a few hours.
Grill chicken over live coals or rotisserie until browned. Alternatively, lightly pan-fry and cook them.
Combine butter, tomato purée, and the remaining lemon juice. Mix in the leftover marinade from the chicken. Bring this mixture to a boil and simmer for a few minutes. Remove from the heat, and stir in the cream.
Place the chicken on a platter, and spread the sauce over top. Garnish with mint sprigs, and serve hot."
46,"Cut the chicken into eight pieces.
Add the oil to a medium sauté pan. Sauté the onions for about 3–4 minutes or until they turn yellow.
Add the chicken, peppercorns, salt, and paprika, and stir it rapidly. It is a lot of paprika, but it is not hot and this is a Paprikash. Add water immediately to cover the meat.
Simmer over low heat. If using, add peppers and carrots after 10 minutes of simmering. Stir occasionally until the chicken is tender. If necessary add more water, but very sparingly. Do not boil the chicken—it should be almost fried in the end. This takes about 45–50 minutes. During the last 15 minutes, stop adding water and wait until the liquid is almost boiled off. Keep about a half finger's width of gravy on the bottom of the pan
Add the sour cream and heavy cream to the gravy and stir. Add fresh chopped parsley on the top.
Serve with dumplings, rice or mashed potatoes and salad."
47,"Melt the butter in a non-stick pan. Fry the garlic, chilli, and scallion, stirring, for 15 seconds.
Add the chicken and carrot. Cook until the chicken changes color from pink to white.
Add the rice, then the oyster sauce, Worcestershire sauce, salt, and pepper. Continue to cook until well-combined.
Serve hot with the sides."
48,"Blend together the red bell pepper, bird's eye chillies, garlic cloves, onion, thyme, black pepper, salt or to your taste, paprika, vinegar, lemon juice, olive oil, and bouillon cubes to make a marinade.
Pour the marinade over the chicken in a large bowl. Use your hands to massage the marinade into the chicken, then cover the bowl and leave it in the fridge for at least 1 hour and up to overnight. The longer it marinates, the better the flavor.
Arrange the chicken in a baking pan, and pour the marinade over it.
Bake in a preheated 350 °F oven for 30 minutes, basting the chicken periodically. Flip the chicken over and bake for another 30 minutes.
Turn on the broiler of your oven, and broil the chicken for about 3–5 minutes to char it.
Serve hot."
49,"Preheat the oven to 350 °F.
Trim excess fat of chicken and pat dry with a cloth or paper towel.
Season chicken with salt, garlic, ginger, thyme, smoked paprika, green onions, chicken bouillon cube, and onions. Let rest in the fridge for at least 2 hours to season well.
Combine the tomatoes, onions, green onions, and red or green pepper in a Dutch oven. Add the chicken, and cover with the lid.
Place it in the oven, and bake for about an hour or until the chicken is cooked through. Shake the pot once or twice during cooking without opening the pot.
Remove from the oven. Serve with attieke or white rice and enjoy."
50,"Wash the lentils in sieve and cook them over low heat in the 1 litre of water for 40–50 minutes.
About 20 minutes before the end of the cooking, add the carrot, onion, potatoes, garlic, sausages, bay leaf, and pork belly.
After cooking, put the pot on the side and keep it warm.
Melt the butter in the little pot, add the flour, and cook carefully until brown, stirring the whole time.
Slowly and gradually add the ⅓ litre water, and bring to a boil.
Add the tomato paste, vinegar, and honey. Season with salt and pepper to your liking.
Stir the sauce into the lentils, mix well, and keep warm."
51,"Cut the chicken into 8–10 pieces.
Combine the buttermilk and spices, and marinate the chicken pieces for 4 hours in the mixture.
Take each chicken piece out of the marinade and allow it to drip dry for a few seconds. Then, dredge it in seasoned flour. An easy way to dredge involves putting flour and seasonings in a small plastic bag, dropping the piece in, and shaking.
Let the pieces rest (separately; do not stack) for about 10 minutes. Then dredge them again. The first dredging absorbs the buttermilk marinade. The second dredging gives a seasoned flour outer coat.
Heat the oil in a deep, wide pan. When oil is smoking hot, drop chicken pieces into the pan, and be careful to not overcrowd (pieces should not touch; fry in multiple batches). After 3 or 4 minutes, turn the chicken, and reduce the heat. Let the chicken fry for 20–25 minutes, turning the pieces every few minutes. When the chicken is a deep golden-brown, and the juices run clear, it's done. The chicken will continue to cook after being removed from the pan, so err on the side of ""just about done"".
Drain the chicken on absorbent paper or cloth. If you are not serving the chicken immediately, place it in a lightly-warmed oven, uncovered, separately (not stacked).
Pour off the accumulated oil from the pan, reserving 3–4 tablespoons and all the flour and chicken residue. Keeping the pan on medium flame, add the chopped onion and garlic. Sauté for a few minutes. Whisk in 3–4 tablespoons of flour, and keep stirring until the mixture becomes light to medium brown. Do not burn.
Whisk in 3 cups of chicken stock. Simmer over low heat, covered, for 15 minutes. Salt and pepper to taste.
Serve chicken with rice and some green vegetables. Spoon gravy over rice and chicken."
52,"Rinse and thoroughly drain garbanzo beans. Place about ⅔ of them in a blender or food processor with 2 cups of broth and/or water, and purée until mostly smooth. Set aside.
Place a soup pot or Dutch oven over medium heat and wait for about a minute. Add olive oil and swirl to coat the pan.
Add onion and sauté over medium heat for about 5–8 minutes, or until onion is translucent.
Add half the garlic plus the potato, carrot, and celery and about ⅛ teaspoon salt, and sauté over medium-low heat for 5 to 8 minutes.
Add garbanzo purée, plus remaining broth and/or water and garbanzo beans, and the bay leaf, mustard, cumin, and saffron.
Bring to boil, then lower the heat.
Cover and simmer for about 30 minutes, stirring occasionally.
Stir in the remaining garlic, plus the peas, vinegar, and tomato.
Taste to correct salt.
Add black pepper and cayenne.
Simmer for only about 5 minutes longer."
53,"Place beans in a large pot, add with enough water to cover by 2 inches (2.5 cm), and allow to soak overnight. Drain beans and cover again with fresh water. Bring to boil, reduce heat, and simmer for 2 hours.
Heat the corn oil in a stockpot or other very large pot over medium-high heat. Add the onions and sauté until tender, about 3 minutes. Add garlic, chipotle and ancho chiles, cumin, paprika, oregano, salt, cayenne, and vinegar, and sauté for 5 to 10 minutes.
Add tomatoes, tomato puree, and the water. Bring to a boil, then reduce heat and simmer for 10 minutes. Add the beans with their juice. Simmer for 1 hour.
Serve with or without sour cream."
54,"In a large pot or Dutch oven, heat the olive oil over medium heat.
Add the finely chopped onion to the pot and sauté until it becomes translucent and slightly golden.
Stir in the minced garlic and cook for another minute until fragrant.
Add the rinsed red lentils to the pot and stir to coat them with the onion and garlic mixture.
Sprinkle the ground cumin, ground coriander, ground paprika, and ground turmeric over the lentils. Stir well to combine and coat the lentils with the spices.
Pour in the vegetable broth or water, ensuring that the lentils are fully submerged.
Bring the mixture to a boil, then reduce the heat to low and cover the pot. Let the soup simmer for about 20–25 minutes or until the lentils are tender and fully cooked.
Using a blender, purée the soup until smooth and creamy. If using a regular blender, allow the soup to cool slightly before blending, and be careful when transferring hot liquids.
Return the soup to the pot and place it back over low heat.
Stir in the lemon juice and season the soup with salt and pepper to taste. Adjust the seasoning according to your preference.
Continue to heat the soup for a few more minutes until it is warmed through.
Ladle the soup into bowls and garnish with chopped parsley or cilantro. Serve hot."
55,"In a Dutch Oven or large soup pot, heat oil over medium heat.
Sauté onion, red pepper, garlic, saffron, and potatoes, stirring occasionally, until the potatoes start to soften, about 15 minutes.
Stir in paprika, then sherry and cook about 1 minute.
Add chickpeas, tomatoes, stock, salt and pepper.
Bring to a boil, reduce heat to low, and cook partially covered until potatoes are tender and stew thickens, 30–40 minutes.
Remove from heat and let stand about 15 minutes to meld flavors and thicken slightly.
To serve, make a pyramid of rice in the center of each of 4 bowls, then ladle hot stew around rice.
Garnish with parsley, if desired."
56,"Preheat oven to 400°F.
Shred tuna and stir into 3-quart casserole with milk, noodles, peas, and soup. Add onions and hot sauce if desired.
Bake until hot, about 25–30 minutes.
Remove from oven, and top with bread crumbs mixed with butter or with cheese.
Bake another 5 minutes."
57,"In a medium saucepan, melt butter; add onion and celery and cook until tender.
Add potatoes, corn, salt, pepper, water, bouillon cubes, and thyme.
Cover and simmer for 15 minutes, or until potatoes and corn are tender.
Add milk and cream.
Heat through."
58,"Preheat oven to 350°F (175°C).
Cook macaroni according to package directions; drain.
In a large bowl, combine cheese, macaroni, milk, dry mustard, onion, soup, and salt.
Add salmon and frozen peas.
Place in a greased 9 x 13-inch pan.
Cover mixture with bread crumbs; drizzle with melted butter.
Bake for 45 minutes."
59,"Cut the chicken into 2 cm (¾ inch) cubes.
Beat the egg, light soy sauce, and seasoning in a bowl.
Add the chicken pieces to the egg mixture, and stir in the cornstarch to thicken the mixture.
Mix the sauce ingredients in another bowl and set aside until needed. Stir out any lumps.
Heat the oil in a wok (if deep frying, aim for 180°C or 350°F).
If deep frying, fry the pieces of battered chicken a few at a time until crispy (around 3 minutes). If shallow-frying, fry until the chicken is cooked and the batter is golden. Remove excess oil from the chicken pieces after frying.
After frying the chicken, empty and wipe clean the wok. Add 2 tbsp oil back to the wok, and return to the heat.
Fry the spring onions and chili peppers together for about 30 seconds.
Add the chicken pieces back to the wok, and stir fry with the vegetables until browned.
Stir sauce and add to wok. After the sauce comes to a boil, cook for about 1 minute or until sauce thickens. The exact time will depend partly on how much cornstarch you added.
Remove from heat and serve immediately."
60,"Heat the olive oil in a very large saucepan.
When oil is hot, add curry powder, potatoes, onions, red peppers, and tomatoes. Stir and fry until potatoes are nearly done.
Reduce heat, then stir in crushed garlic, pine nuts, caraway, half the dried oregano, and chili powder.
In a separate pot (with a lid) bring 1 ¾ cup water to a boil.
While waiting for water to boil, make a rice spice mix from paprika, pinch of saffron, cumin, and remaining oregano.
Mix rice spice mix with basmati rice.
When water has begun to boil, reduce heat, add rice and rice spice mix. Cover and simmer for 10 minutes.
Add wine and bouillon cube to the tomato mixture, stir, and turn the heat to low. Simmer, stirring occasionally, while the rice is cooking.
Let rice simmer for another 10 minutes, then remove from the heat.
When the contents of the saucepan appear to be frying again instead of simmering, stir in the rice.
When liquid is absorbed by rice, stir in the beans.
Turn off heat and serve with cheese."
61,"Heat the olive oil in the pan, add the chopped garlic and onions, and fry gently for about 3 minutes until translucent but not coloured. Add the cayenne pepper and mix well in the pan.
Add the glass of white wine and allow to evaporate slightly.
Add the water, the stock cubes, the tomato paste, pepper, salt, pasta, and the 2 tins of beans, and allow to simmer gently for as long as the pasta needs to cook (see packet) stirring occasionally.
Once the pasta is al dente, stop the cooking process, add the chopped parsley and the cream, and stir in well.
Add the rosemary sprig, and allow the whole thing to infuse for about 2 hours.
Buon appetito Wikibookians!"
62,"In a wide, shallow bowl combine flour, salt, black pepper, hot pepper, oregano and garlic. Roll chicken pieces in flour mixture.
In a large pot, melt margarine over medium-high heat. Add chicken and cook for 3–5 minutes or until brown. Remove from pot and set aside. Add a bit of white wine or grappa to deglaze and pour drippings over chicken
Add green pepper and onion to pot, and sauté until onion is translucent.
Add rice, tomatoes, broth, and a dash of lemon juice. Stir. Salt and pepper to taste. Cover and cook over low heat for 12 minutes.
Return chicken to pot. Reduce heat to low, cover, and cook until chicken is tender. Add a bit more oregano and some chopped parsley."
63,"Sauté onions and mushrooms in butter until lightly brown, then set aside.
Mix all of the hamburger ingredients together until well-mixed, and let rest for 15 minutes.
Heat grill to medium-high.
Divide hamburger mix into 4 equal balls.
Form patties by slapping the burgers back and forth from one palm to the other until they are about an inch thick.
Grill burgers to desired doneness, turning every few minutes and adding cheese after the last flipping of the burgers
Serve on the buns, with the onion/mushroom mixture, a dollop of sour cream, and a thin slice of cream cheese."
64,"In a large pot, heat the palm oil over medium heat.
Add the chopped onions and minced garlic to the pot. Sauté until the onions are soft and translucent.
If using meat, add the meat pieces to the pot and cook until they are browned on all sides.
Pour in the chicken broth or water and bring the mixture to a simmer.
Add the diced tomato, bell pepper, and chopped hot pepper (if using) to the pot. Stir well to combine with the other ingredients.
Gently add the diced eggplant to the pot and stir to incorporate with the other ingredients.
Season the stew with ground pepper and salt to taste. Adjust the seasoning according to your preference.
Let the stew simmer for about 20–25 minutes or until the eggplant is tender and cooked through.
Stir occasionally during cooking to prevent sticking and to ensure even cooking.
Remove the pot from the heat and let the stew rest for a few minutes before serving."
65,"In a storage container, mix together 2 tbsp soy sauce with 2 tsp crispy chilli. Cube the tofu and add to the mixture in the container, mixing thoroughly to marinate.
Cut the potatoes into small 1 cm cubes and heat the vegetable oil in a frying pan. Add the potatoes and fry for 15–20 minutes. Remove from heat and then let drain and cool on kitchen roll (paper towels).
While the potatoes are cooking, slice the red onion and cut the red bell peppers into large chunks.
In the same pan, fry the tofu for 10 minutes then, remove and drain on kitchen roll.
While the potatoes are cooking, cut the tomatoes into eighths and remove the seeds.
In the same pan, fry the red onion for around 5 minutes. Then add the red bell pepper and fry them with the onion for about 3 minutes.
Add the tomatoes, garlic, spices, vinegar, remaining soy sauce and crispy chilli, and 5 tbsp of water, and cook for 5 minutes.
Chop the mint and fresh coriander (cilantro) together.
Add the tofu back to the pan along with about 40 grams of the fresh coriander (cilantro) and fresh mint mixture and toss.
Serve the tofu mixture over the fried potatoes along with a sprinkling of fresh herbs on top."
66,"Heat olive oil in a medium saucepan.
Lightly brown the chicken breasts in the oil—don't cook them through.
Add the onion and fry for a couple of minutes.
Add peach (if you're using peach) and fry for another minute.
Cut the tomatoes in half and add them.
Add everything else and simmer, covered, for 45 minutes, stirring occasionally.
Remove the lid and let it simmer for about 15 more minutes.
In the meantime, cook the pasta according to the directions on the package.
Remove cinnamon sticks from sauce. Serve over hot pasta with freshly-grated Parmesan and garlic bread."
67,"In a 4-quart saucepan over medium-high heat, brown beef in margarine.
Add onion; cook until tender.
Stir in beef broth, water, celery, and basil; bring to a boil.
Cover; reduce heat and simmer 1 hour.
Add tomatoes, carrots, noodles; bring to a boil.
Reduce heat and simmer, uncovered, 25 minutes.
Stir in spinach; cook 5 minutes more."
68,"Put a large casserole on the stove on medium heat.
When the casserole is hot, add enough olive oil to just cover the bottom.
Cut the zucchini and eggplant into ½ inch slices. Then, cut these into rectangles of about 3x1 inches. Add to the casserole.
Sauté the slices until light brown; remove from pan and set aside temporarily.
Chop the onions and garlic. Cut the green pepper into strips or dice, as preferred.
Add some additional oil if needed, and cook the onions and peppers slowly for about 10 minutes until tender but not brown. Stir in the garlic.
Peel and seed the tomatoes. Dice them or cut them into quarters, add to the casserole. Add some salt to bring out their juices. Cover and lower the heat.
Five minutes later, check to see if the tomatoes have made enough juice to almost cover the vegetables—if so, perfect; if not, add water as needed (not too much).
Add salt, pepper and Herbes de Provence to taste. In general, 1 tsp of salt, ½ tsp of pepper, and 1 tbsp of the herbs will suffice.
Add the zucchini and eggplant back and blend gently with the tomato-onion-pepper mixture. Cover the casserole and let simmer on low heat until the vegetables are tender but still intact, 10–20 minutes, or to taste.
Remove the lid, raise the heat a little and cook uncovered for another 15 minutes, basting frequently until the liquids have mostly evaporated, leaving a small amount of juice and olive oil."
69,"Preheat the oven to 180°C (350°F).
Wash the eggplants and cut off the stem end. Slice each eggplant in half lengthwise.
Use a spoon to carefully hollow out the eggplant halves, leaving about a ½-inch thick shell. Set aside the hollowed-out eggplant flesh to use in the filling.
In a mixing bowl, combine the ground beef or lamb, rinsed rice, finely chopped onion, minced garlic, fresh parsley, fresh dill, fresh mint, tomato paste, ground cumin, ground paprika, ground cinnamon, salt, and pepper. Mix well until all the ingredients are thoroughly combined.
Stuff each hollowed-out eggplant half with the meat and rice filling, packing it firmly into the shell.
Arrange the stuffed eggplants in a baking dish, making sure they fit snugly.
Drizzle the stuffed eggplants with olive oil to keep them moist and enhance the flavor.
Cover the baking dish with foil and bake in the preheated oven for about 45–50 minutes, or until the eggplants are tender and the filling is cooked through.
Once cooked, remove the foil and continue baking for an additional 10–15 minutes to allow the tops to brown slightly.
Remove the eggplant from the oven and let them cool for a few minutes before serving.
Serve the mahshi betinjan hot as a main course, garnished with fresh herbs if desired. It pairs well with a side of Egyptian bread, rice, or a salad."
70,"Place the rinsed red lentils in a large pot and add the water. Bring to a boil over medium-high heat.
Reduce the heat to low and simmer the lentils for about 15–20 minutes or until they are soft and cooked through. Stir occasionally to prevent sticking. Once cooked, remove from heat and set aside.
In a separate large pot, heat the olive oil over medium heat.
Add the chopped onion to the pot and sauté until it becomes translucent and slightly browned.
Add the minced garlic to the pot and sauté for an additional minute until fragrant.
Stir in the berbere spice blend, tomato paste, ground cumin, ground turmeric, salt, and black pepper. Mix well to combine the spices with the onions and garlic.
Add the cooked lentils to the pot, including any remaining cooking liquid. Stir well to incorporate the lentils with the spices.
Bring the mixture to a simmer and cook for an additional 20 minutes, stirring occasionally, to allow the flavors to meld together.
Taste the stew and adjust the seasoning with salt and pepper if needed.
Remove the pot from the heat and let rest for a few minutes before serving.
Garnish with fresh chopped parsley or cilantro. Enjoy hot with injera or bread."
71,"Bone and dice the chicken.
Heat a small amount of vegetable oil in a large frying pan until it starts to smoke.
Add the chicken cubes and fry over medium-high heat, stirring frequently, until they are browned (2–3 minutes).
To the chicken, add the drained kidney beans, salt and chili powder.
Reduce heat and simmer 10 minutes.
Chop the tomatoes, onion and lettuce.
Grate the cheese.
Toss them together in a salad bowl with the salad dressing and picante sauce.
Slice the avocado and add to the salad.
Break the tortilla chips into flakes and add to the salad.
Mix the cooked chicken and beans into the cold salad.
Decorate with extra chips and slices of avocado and tomato.
Serve immediately."
72,"Heat a large non-stick skillet or griddle over low heat while preparing ingredients.
Mix flour, sugar, salt, baking powder, and baking soda in medium bowl.
Microwave buttermilk and milk in a 2-cup Pyrex measuring cup to room temperature, 20 to 30 seconds.
Whisk in egg, butter, and almond extract.
Add wet ingredients to dry ingredients and whisk until just mixed.
Return batter to measuring cup, stirring in a teaspoon or two of water, if necessary, to make a thick, but pourable batter.
Increase heat to medium and generously brush skillet or griddle with oil.
When oil starts to spider, but before it starts to smoke, pour batter, about ¼ cup (60 ml) at a time.
Work in batches, if necessary, to avoid overcrowding.
When pancake bottoms are golden brown and tops start to bubble, 2 to 3 minutes, flip pancakes.
Cook until pancakes are golden brown on remaining side.
Repeat, brushing skillet or griddle with oil.
Serve hot."
73,"Mix the ingredients and pour them into a 9-inch (20 cm) baking pan. They can also be mixed in the pan, but it's a little tricky not to spill.
Bake at 350 °F (175 °C) for 40–45 minutes.
Serve hot, cold, and with or without milk—the choice is yours."
74,"Sift together flour, sugar, baking powder, cream of tartar, salt, cinnamon and nutmeg. Set aside.
Whisk together buttermilk, butter and egg yolks in a large bowl. Mix flour mixture into buttermilk mixture. Mix in blueberries.
Whip egg whites in a small bowl until stiff, but do not let dry peaks form. Fold into pancake batter.
Heat a large pan or griddle over medium heat. Lightly spray or brush with vegetable oil. Ladle in a ¼ cup of batter for each pancake; cook until set and bubbly on the top. Turn pancake over, then cook for 1 more minute.
Serve warm with whatever topping you prefer."
75,"Turn waffle iron on high.
Put all ingredients in a blender and blend on high until the contents are smooth. Let the mixture sit for 10–15 minutes.
Spray the waffle iron with non-stick cooking spray.
Pour some of the batter onto the waffle iron. Cook for about 10 minutes. Repeat until you are out of batter."
76,"In a medium bowl stir together flour, brown sugar, and oatmeal. If the room temperature is a bit warm, you should cool this mixture in the fridge.
Prepare the apples. This should be completed before mixing butter into the topping. It is helpful to choose apples that do not brown quickly; Granny Smith apples are a good choice. Do not use Red Delicious apples; they turn to mush. Place the apples into a 9-inch (23 cm) square baking dish; glass is best.
Add the butter or margarine to the topping. Mix it via a slicing action, so that the butter or margarine forms tiny little chunks and does not melt or smear. A pair of butter knives, used like scissors, is good for this. You must work quickly once you start this step.
Sprinkle the topping onto the apples. You may pat it down just a bit.
Bake for about 30 minutes in a 375 °F (190°C) oven. Do not remove the crisp before the top is dark brown. Black spots indicate burning. It is better to burn a few small spots, which you can then remove, than to risk undercooking the topping."
77,"Preheat oven to 375°F.
Melt margarine in quart size baking pan or dish. Set aside.
Mix baking powder, flour, sugar, and milk. Pour this batter over the melted margarine, and do not stir.
Arrange peaches over the batter.
Bake 20–30 minutes."
78,"Wash and dry the strawberries and lemon.
Slice strawberries into small pieces.
Combine strawberries and sugar.
Roll a lemon on a counter while applying pressure with the palm of one hand. Cut lemon in half and squeeze both halves through a strainer into the strawberry mixture.
Remove any remaining seeds from the lemon halves and add them, with the rind, to the strawberry mixture.
Allow strawberry mixture to macerate for 1–2 hours, stirring occasionally until all of the sugar crystals are dissolved.
Discard lemon halves, then orange liqueur to the strawberry mixture.
Use a blender or food processor to reduce the strawberry mixture to a purée, but don't over-blend.
Stir the Greek yogurt into to the strawberry mixture, mixing until well combined.
Refrigerate strawberry yogurt mixture for at 4 four hours.
Pour strawberry yogurt mixture into a prepared ice cream maker, and mix for approximately 20 minutes, or until the frozen yogurt has reached a firm consistency.
Eat immediately, or freeze for later."
79,"Allow the gelatin to bloom in 1 Tbsp of the cream for about 5 minutes.
Combine the remaining ingredients in a medium saucepan over medium heat, and stir occasionally until the sugar dissolves and tiny bubbles appear around the edge of your pan.
Remove from heat and add the gelatin, stirring until it is thoroughly incorporated.
Pour the cream mixture into small ramekins and allow to set in the refrigerator for at least 4 hours, up to overnight.
Serve with fresh fruit, balsamic vinegar, port, or a sweet sauce."
